name,ages,team,play_year,country,打,投,出賽數,打席,打數,打點,得分,安打,一安,二安,三安,全壘打,壘打數,被三振,盜壘,上壘率,長打率,打擊率,雙殺打,犧短,犧飛,四壞,故四,死球,盜壘刺,滾地出局,高飛出局,滾飛出局比,盜壘率,整體攻擊指數
岳東華98,25,中信兄弟,2020,中華民國,左打,右投,76,272,237,34,32,69,52,11,2,4,96,39,4,0.355,0.405,0.29100000000000004,10,7,3,24,0,1,4,75,64,1.172,0.5,0.76
岳東華98,26,中信兄弟,2021,中華民國,左打,右投,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
巧克力0,31,三商,1998,美國,左打,右投,36,168,146,12,24,45,33,7,2,3,65,24,15,0.392,0.445,0.308,2,1,0,18,1,2,7,44,34,1.294,0.68,0.8370000000000001
巧福0,27,三商,1993,多明尼加,右打,右投,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
巴威特0,24,味全龍,1999,墨西哥,左打,右投,22,90,78,14,12,23,16,4,1,2,35,9,1,0.389,0.449,0.295,4,0,0,11,0,1,1,31,15,2.0669999999999997,0.5,0.838
巴斯20,32,統一7-ELEVEn獅,2006,美國,左打,左投,8,24,24,3,4,6,4,0,1,1,11,7,0,0.25,0.45799999999999996,0.25,0,0,0,0,0,0,0,8,3,2.667,0.0,0.708
巴比諾0,30,兄弟,1994,多明尼加,右打,右投,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
布雷20,34,統一7-ELEVEn獅,2006,多明尼加,右打,右投,28,119,103,25,20,29,13,7,0,9,63,16,0,0.364,0.612,0.282,3,0,1,13,1,1,0,26,33,0.7879999999999999,0.0,0.976
布雷20,35,統一7-ELEVEn獅,2007,多明尼加,右打,右投,99,456,399,107,94,125,71,21,0,33,245,44,1,0.384,0.614,0.313,11,0,3,36,6,12,1,93,140,0.664,0.5,0.998
布雷20,36,統一7-ELEVEn獅,2008,多明尼加,右打,右投,96,420,361,102,90,119,68,26,1,24,219,39,0,0.401,0.607,0.33,8,0,7,39,4,9,0,75,135,0.556,0.0,1.008
布雷特0,30,統一7-ELEVEn獅,1998,美國,左打,左投,79,336,300,64,56,91,60,19,3,9,143,67,36,0.366,0.47700000000000004,0.303,5,0,1,27,5,3,7,64,79,0.81,0.84,0.843
布魯諾0,27,味全龍,1999,美國,右打,右投,18,77,67,7,4,21,19,2,0,0,23,12,3,0.395,0.34299999999999997,0.313,5,1,0,7,0,2,5,25,10,2.5,0.38,0.738
希斯0,33,俊國,1995,美國,左打,右投,49,179,160,17,16,42,32,6,2,2,58,33,6,0.326,0.363,0.263,2,4,0,15,0,0,1,55,34,1.618,0.86,0.6890000000000001
帝多0,32,興農,1997,多明尼加,左打,右投,94,426,371,73,85,132,86,27,3,16,213,61,22,0.423,0.574,0.35600000000000004,2,3,4,43,2,3,10,102,83,1.229,0.69,0.997
帝多0,36,中信,2001,多明尼加,左打,右投,31,137,115,15,21,30,19,7,0,4,49,13,4,0.375,0.426,0.261,6,0,0,19,1,2,4,38,34,1.1179999999999999,0.5,0.8009999999999999
帝波0,28,兄弟,1990,多明尼加,左打,左投,85,353,305,49,57,93,59,20,4,10,151,40,13,0.37200000000000005,0.495,0.305,2,4,4,32,5,3,5,108,72,1.5,0.72,0.867
帝波0,29,兄弟,1991,多明尼加,左打,左投,80,295,264,37,40,84,57,18,1,8,128,32,16,0.377,0.485,0.318,5,0,0,24,6,1,8,88,60,1.4669999999999999,0.67,0.862
帝波0,30,兄弟,1992,多明尼加,左打,左投,79,309,274,41,43,72,48,15,2,7,112,49,20,0.341,0.409,0.263,8,1,1,30,0,3,13,93,62,1.5,0.61,0.75
帝波0,31,兄弟,1993,多明尼加,左打,左投,50,181,164,17,24,44,30,7,2,5,70,20,9,0.324,0.42700000000000005,0.268,4,2,1,11,0,3,7,57,46,1.239,0.56,0.7509999999999999
帝波0,32,兄弟,1994,多明尼加,左打,左投,51,157,143,18,24,48,28,14,1,5,79,24,2,0.373,0.552,0.336,2,3,1,8,1,1,6,45,30,1.5,0.25,0.925
帝波0,33,兄弟,1995,多明尼加,左打,左投,39,140,126,9,12,28,20,6,0,2,40,18,8,0.26899999999999996,0.317,0.222,3,4,0,8,2,0,4,49,35,1.4,0.67,0.586
席古拉0,33,味全龍,1996,多明尼加,右打,右投,2,2,1,0,0,0,0,0,0,0,0,1,0,0.5,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.5
康哲瑋34,25,中信,2008,中華民國,右打,右投,58,183,161,10,19,40,37,2,1,0,44,18,3,0.28800000000000003,0.273,0.248,3,13,0,5,0,4,3,75,41,1.829,0.5,0.561
康明杉0,29,三商,1993,中華民國,右打,右投,1,2,2,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
康雷0,28,三商,1992,多明尼加,右打,右投,62,230,213,38,27,67,48,8,1,10,107,22,23,0.348,0.502,0.315,3,3,2,10,0,2,6,66,63,1.048,0.79,0.85
