name,age,team,play_year,country,打,投,守備位置,出賽數,守備機會,刺殺,助殺,失誤,雙殺,三殺,守備率
余德龍36,31,Lamigo,2019,中華民國,右打,右投,一壘手,1,0,0,0,0,0,0,0.0
余德龍36,32,樂天桃猿,2020,中華民國,右打,右投,游擊手,25,96,38,54,4,16,0,0.958
余德龍36,32,樂天桃猿,2020,中華民國,右打,右投,外野手,22,21,21,0,0,0,0,1.0
余德龍36,32,樂天桃猿,2020,中華民國,右打,右投,一壘手,3,4,4,0,0,0,0,1.0
余德龍36,33,樂天桃猿,2021,中華民國,右打,右投,游擊手,12,42,18,21,3,7,0,0.929
余德龍36,33,樂天桃猿,2021,中華民國,右打,右投,外野手,4,7,6,0,1,0,0,0.857
余賢明50,25,興農,2005,中華民國,左右開弓,左投,外野手,80,90,82,3,5,2,0,0.9440000000000001
余賢明50,26,興農,2006,中華民國,左右開弓,左投,外野手,105,163,151,6,6,1,0,0.963
余賢明50,27,興農,2007,中華民國,左右開弓,左投,外野手,114,125,120,2,3,0,0,0.976
余賢明50,28,興農,2008,中華民國,左右開弓,左投,外野手,58,77,74,2,1,1,0,0.987
余賢明50,28,興農,2008,中華民國,左右開弓,左投,一壘手,1,0,0,0,0,0,0,0.0
余賢明50,29,興農,2009,中華民國,左右開弓,左投,外野手,67,57,54,3,0,0,0,1.0
余賢明50,30,興農,2010,中華民國,左右開弓,左投,外野手,95,115,108,4,3,1,0,0.9740000000000001
余賢明50,31,興農,2011,中華民國,左右開弓,左投,外野手,81,89,83,2,4,1,0,0.955
余賢明50,32,興農,2012,中華民國,左右開弓,左投,外野手,81,107,102,2,3,1,0,0.972
余賢明50,32,興農,2012,中華民國,左右開弓,左投,游擊手,1,0,0,0,0,0,0,0.0
余賢明50,32,興農,2012,中華民國,左右開弓,左投,投手,1,0,0,0,0,0,0,0.0
余進德5,26,興農,2004,中華民國,右打,右投,外野手,6,3,3,0,0,0,0,1.0
余進德5,26,興農,2004,中華民國,右打,右投,二壘手,1,1,1,0,0,0,0,1.0
余進德5,27,興農,2005,中華民國,右打,右投,外野手,10,10,9,0,1,0,0,0.9
余進德5,28,Lamigo,2006,中華民國,右打,右投,二壘手,13,32,14,17,1,6,0,0.9690000000000001
